ISO,COD-AB URL,COD-AB level,COD-AB contributor,COD-AB description,COD-AB ADM1 units,COD-AB ADM2 units,COD-AB ADM3 units,COD-AB ADM4 units
MYS,https://data.humdata.org/dataset/cod-ab-mys,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),"Malaysia administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2021

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from UNHCR

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Malaysia [COD-PS](https://data.humdata.org/dataset/cod-ps-mys).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 16 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 144 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",16,144,,
MDV,https://data.humdata.org/dataset/cod-ab-mdv,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),"Maldives administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2024

NOTE:  These layers have a special polygon structure. Administrative level 2 is actual islands, but level 1 (and level 0) is the surrounding administrative atolls or island groups (which in a few cases differ from distinct geographic atolls). Feature areas (AREA_SQKM) totals are therefore much larger for administrative level 1 (and 0). This COD-AB contains an extra """"""""Atoll Lines' layer that shows the island and atoll groupings. The administrative level 2 P-codes are derived from an earlier ('FCODE') system where available, and then completed alphabetically by name in other cases.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Government of the republic of Maldives

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Maldives [COD-PS](https://data.humdata.org/dataset/cod-ps-mdv).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 21 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 1,556 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",21,1556,,
MLI,https://data.humdata.org/dataset/cod-ab-mli,cod-enhanced,OCHA Field Information Services Section (FISS),"Mali administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2016

NOTE:  Two COD-PS records are not represented in the COD-AB.  The OCHA Regional Office is consulting with the DoDMA about new boundaries.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB requires improvements.

Sourced from DNCT - Direction Nationale des Collectivités Territoriales

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Mali [COD-PS](https://data.humdata.org/dataset/cod-ps-mli).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-mli).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 10 feature(s).  The normal administrative level 1 feature type is """"Region"""".

Administrative level 2 contains 53 feature(s).  The normal administrative level 2 feature type is """"Cercle"""".

Administrative level 3 contains 701 feature(s).  The normal administrative level 3 feature type is """"Arrondissement"""".
These administrative boundaries became out of date in:  2023

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",10,53,701,
MHL,https://data.humdata.org/dataset/cod-ab-mhl,cod-standard,OCHA Regional Office for Asia and the Pacific (ROAP),"Marshall Islands administrative level 0-2 boundaries (COD-AB) dataset.

NOTE:  WARNING:  The geoservices are not scaled correctly.  Users are advised to rely on the shapefiles or geodatabase.  The COD-AB omits MH0609 feature contained in COD-PS.  The disbursed nature of this archipelago country does not make it suitable for EMF mapping.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Secretariat of the Pacific Community, Statistics for Development Division

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Marshall Islands [COD-PS](https://data.humdata.org/dataset/cod-ps-mhl).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 25 feature(s).

Administrative level 2 contains 153 feature(s).

These administrative boundaries were established in:  2021

Recommended cartographic projection:  Oceania",25,152,,
MTQ,https://data.humdata.org/dataset/cod-ab-mtq,cod-standard,OCHA Field Information Services Section (FISS),"Martinique administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from Institut national de l’information géographique et forestière (IGN)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Martinique [COD-PS](https://data.humdata.org/dataset/cod-ps-mtq).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 4 feature(s).  The normal administrative level 1 feature type is """"Parish"""".

Administrative level 2 contains 34 feature(s).  The normal administrative level 2 feature type is """"Commune"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",4,34,,
MRT,https://data.humdata.org/dataset/cod-ab-mrt,cod-enhanced,OCHA Field Information Services Section (FISS),"Mauritania administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Agence Nationale de la Statistique, de l’Analyse Démographique et Economique (ANSADE)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Mauritania [COD-PS](https://data.humdata.org/dataset/cod-ps-mrt).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-mrt).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 15 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 63 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Administrative level 3 contains 238 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",15,63,238,
MUS,https://data.humdata.org/dataset/cod-ab-mus,cod-standard,OCHA Latin America and the Caribbean (ROLAC),"Mauritius administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  COD-AB contains uninhabited features not represented in COD-PS.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from Statistics Mauritius

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Mauritius [COD-PS](https://data.humdata.org/dataset/cod-ps-mus).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 12 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",12,,,
MEX,https://data.humdata.org/dataset/cod-ab-mex,cod-enhanced,OCHA Latin America and the Caribbean (ROLAC),"Mexico administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2016

NOTE:  COD-AB ADM2 will be updated shortly.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from Instituto Nacional de Estadística y Geografía (INEGI)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Mexico [COD-PS](https://data.humdata.org/dataset/cod-ps-mex).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 32 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 2,457 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",32,2457,,
FSM,https://data.humdata.org/dataset/cod-ab-fsm,cod-standard,OCHA Office of the Pacific Islands,"Micronesia (Federated States of) administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2019

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Federated States of Micronesia Division of Statistics,  2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Micronesia (Federated States of) [COD-PS](https://data.humdata.org/dataset/cod-ps-fsm).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 4 feature(s).  The normal administrative level 1 feature type is """"State"""".

Administrative level 2 contains 75 feature(s).  The normal administrative level 2 feature type is """"Municipality"""".

Recommended cartographic projection:  Oceania

This metadata was last updated on January 13, 2025.",4,75,,
MDA,https://data.humdata.org/dataset/cod-ab-mda,cod-enhanced,OCHA Field Information Services Section (FISS),"Republic of Moldova administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  See COD-PS caveats about data completeness.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from UNHCR

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Republic of Moldova [COD-PS](https://data.humdata.org/dataset/cod-ps-mda).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-mda).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 37 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Recommended cartographic projection:  Europe Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",37,,,
MNG,https://data.humdata.org/dataset/cod-ab-mng,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),"Mongolia administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2020

NOTE:  See COD-PS caveats about 2017 and 2021 mismatch.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from National Statistical Office of Mongolia

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Mongolia [COD-PS](https://data.humdata.org/dataset/cod-ps-mng).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 22 feature(s).  The normal administrative level 1 feature type is """"Aimag"""".

Administrative level 2 contains 339 feature(s).  The normal administrative level 2 feature type is """"Soum"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",22,339,,
MSR,https://data.humdata.org/dataset/cod-ab-msr,cod-standard,OCHA Field Information Services Section (FISS),"Montserrat administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  See COD-PS caveat about displacement due to volcanic activity.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Montserrat [COD-PS](https://data.humdata.org/dataset/cod-ps-msr).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 3 feature(s).  The normal administrative level 1 feature type is """"Parish"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",3,,,
MAR,https://data.humdata.org/dataset/cod-ab-mar,cod-enhanced,OCHA Field Information Services Section (FISS),"Morocco administrative level 0-4 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  NOTE ABOUT P-CODES. The Haut Commissariat au Plan data (HCP) source data contained place codes that did not reference administrative level 1 (regions). To maintain consistency with the previous COD-AB - as well as the live geoservices that are currently in place - the new layers maintain the P-coding at administrative levels 1 and 2 and then append the HCP place coding for administrative levels 3 and 4.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from Le Haut Commissariat au Plan data (HCP)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Morocco [COD-PS](https://data.humdata.org/dataset/cod-ps-mar).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 10 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 69 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Administrative level 3 contains 1,507 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Administrative level 4 contains 1,656 feature(s).  The normal administrative level 4 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",10,69,1507,1656
MOZ,https://data.humdata.org/dataset/cod-ab-moz,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),"Mozambique administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  1954

NOTE:  Four records are uninhabited islands.

This COD-AB was most recently reviewed for accuracy and necessary changes in March 2024.  The COD-AB does not require any update.

Sourced from Mozambique Instituto Nacional de Estatistica (INE) and partners

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Mozambique [COD-PS](https://data.humdata.org/dataset/cod-ps-moz).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 11 feature(s).  The normal administrative level 1 feature type is """"Province"""".

Administrative level 2 contains 159 feature(s).  The normal administrative level 2 feature type is """"District"""".

Administrative level 3 contains 411 feature(s).  The normal administrative level 3 feature type is """"Posto"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",11,159,411,
MMR,https://data.humdata.org/dataset/cod-ab-mmr,cod-standard,OCHA Field Information Services Section (FISS),"Myanmar administrative level 0-5 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in March 2024.  The COD-AB requires improvements.

Sourced from Myanmar Information Management Unit (MIMU)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Myanmar [COD-PS](https://data.humdata.org/dataset/cod-ps-mmr).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-mmr).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 18 feature(s).  The normal administrative level 1 feature type is """"State/Region"""".

Administrative level 2 contains 80 feature(s).  The normal administrative level 2 feature type is """"District"""".

Administrative level 3 contains 330 feature(s).  The normal administrative level 3 feature type is """"Township"""".

Administrative level 4 contains 14,174 feature(s).  The normal administrative level 4 feature type is """"Town / Village tract"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",18,80,330,14174
NAM,https://data.humdata.org/dataset/cod-ab-nam,cod-enhanced,OCHA Field Information Services Section (FISS),"Namibia administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from Namibia Statistics Agency (NSA)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Namibia [COD-PS](https://data.humdata.org/dataset/cod-ps-nam).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 14 feature(s).  The normal administrative level 1 feature type is """"Region"""".

Administrative level 2 contains 107 feature(s).  The normal administrative level 2 feature type is """"Constituency"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",14,107,,
NPL,https://data.humdata.org/dataset/cod-ab-npl,cod-enhanced,OCHA Field Information Services Section (FISS),"Nepal administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2024

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Survey Department of Nepal (http://ngiip.gov.np/index.php),  UN Resident Coordinators Office in Nepal (https://un.org.np/)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Nepal [COD-PS](https://data.humdata.org/dataset/cod-ps-npl).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-nic).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 7 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 77 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Administrative level 3 contains 775 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",7,77,775,
NIC,https://data.humdata.org/dataset/cod-ab-nic,cod-enhanced,OCHA Field Information Services Section (FISS),"Nicaragua administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  COD-PS is not P-coded, due to incompatibility with the COD-AB and COD-EM.  COD-AB was updated (and COD-EM created) in November 2023 with updates to the """"Region Autonoma Costa Caribe Norte"""" [NI91] and """"Region Autonoma Costa Caribe Sur"""" [NI93] feature names.

This COD-AB was most recently reviewed for accuracy and necessary changes in November 2024.  The COD-AB does not require any update.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Nicaragua [COD-PS](https://data.humdata.org/dataset/cod-ps-nic).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-nic).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 17 feature(s).  The normal administrative level 1 feature type is """"Department or autonomous region (Departamento o región autónoma)"""".

Administrative level 2 contains 153 feature(s).  The normal administrative level 2 feature type is """"municipality (municipio)"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",17,153,,
NER,https://data.humdata.org/dataset/cod-ab-ner,cod-enhanced,OCHA Niger,"Niger administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  1999

NOTE:  COD-AB and COD-PS updated December 2023.

This COD-AB was most recently reviewed for accuracy and necessary changes in January 2024.  The COD-AB does not require any update.

Sourced from IGNN (as of 2006)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Niger [COD-PS](https://data.humdata.org/dataset/cod-ps-ner).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-ner).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 8 feature(s).  The normal administrative level 1 feature type is """"Region (Région)"""".

Administrative level 2 contains 67 feature(s).  The normal administrative level 2 feature type is """"SD0"""".

Administrative level 3 contains 266 feature(s).  The normal administrative level 3 feature type is """"Commune"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 15, 2025.",8,67,266,
NGA,https://data.humdata.org/dataset/cod-ab-nga,cod-enhanced,OCHA Nigeria,"Nigeria administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  1996

NOTE:  See COD-PS caveats about uninhabited COD-AB feature.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Office for the Surveyor General of the Federation of Nigeria (OSGOF), Ehealth, United Nations Cartographic Section (UNCS)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Nigeria [COD-PS](https://data.humdata.org/dataset/cod-ps-nga).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-nga).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 37 feature(s).  The normal administrative level 1 feature type is """"State"""".

Administrative level 2 contains 774 feature(s).  The normal administrative level 2 feature type is """"Local Governement Area"""".

Administrative level 3 contains 714 feature(s).  The normal administrative level 3 feature type is """"Ward"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",37,774,714,
OMN,https://data.humdata.org/dataset/cod-ab-omn,cod-enhanced,OCHA Middle East and North Africa (ROMENA),"Oman administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 11 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 49 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",11,49,,
PAK,https://data.humdata.org/dataset/cod-ab-pak,cod-enhanced,OCHA Field Information Services Section (FISS),"Pakistan administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  The geoservice layer and the pak_admbndl_admALL_ocha_itos_20230308 lines shapefile contains the following special 'admLevel' codes:
86 =Special boundary between administrative level 1 features """"Khyber Pakhtunkhwa"""" [PK5] and """"Punjab"""" [PK6] to west and """"Gilgit Baltistan"""" [PK3] and """"Azad Kashmir"""" [PK1] to east. This boundary may need to be symbolized differently in some mapping contexts.
87 = Approimate """"Line of Control"""" in Jammu and Kashmir

This COD-AB was most recently reviewed for accuracy and necessary changes in September 2024.  The COD-AB requires improvements.

Sourced from World Food Programme SDI

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Pakistan [COD-PS](https://data.humdata.org/dataset/cod-ps-pak).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-pak).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 7 feature(s).  The normal administrative level 1 feature type is """"Province or Territory"""".

Administrative level 2 contains 160 feature(s).  The normal administrative level 2 feature type is """"District"""".

Administrative level 3 contains 577 feature(s).  The normal administrative level 3 feature type is """"Tehsil"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",7,160,577,
PSE,https://data.humdata.org/dataset/cod-ab-pse,cod-enhanced,OCHA occupied Palestinian territory (oPt),"State of Palestine administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  1995

NOTE:  SPECIAL NOTE: The geoservices for this dataset do not yet have the lines modification described below. (The shapefiles and geodatabase do.) They will be updated in the week of 2023_10_22.""""State of Palestine administrative level 0-2 boundaries (COD-AB) dataset.  COD-PS updated to 2023 reference year.  COD-AB lines layer adapted to faciltate UN Geocarto cartographic representation.

NOTE The following AdmLines geoservice layer and the pse_admbndl_admALL_ocha_itos_20230308 lines shapefile ADMLEVEL codes

84:  Boundary between West Bank and Israel
85 = Boundary between GAza and Israel Remainder of the boundary between South Sudan and Sudan
88 = """"No man's land"""" limit (not part of any administrative polygon edge)

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from Palestinian Authority Ministry of Planning

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the State of Palestine [COD-PS](https://data.humdata.org/dataset/cod-ps-pse).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 2 feature(s).  The normal administrative level 1 feature type is """"Territory or Region?"""".

Administrative level 2 contains 16 feature(s).  The normal administrative level 2 feature type is """"Governorate"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",2,16,,
PAN,https://data.humdata.org/dataset/cod-ab-pan,cod-enhanced,OCHA Field Information Services Section (FISS),"Panama administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  Adapted from source data fitted to 12 ADM1 features.

This COD-AB was most recently reviewed for accuracy and necessary changes in January 2025.  The COD-AB does not require any update.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Panama [COD-PS](https://data.humdata.org/dataset/cod-ps-pan).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 13 feature(s).  The normal administrative level 1 feature type is 'province or indigenous territory (provincia o comarca comarca indígena)'.

Administrative level 2 contains 76 feature(s).  The normal administrative level 2 feature type is 'district or indigenous territory (distrito o comarca indígena)'.

Administrative level 3 contains 594 feature(s).  The normal administrative level 3 feature type is 'municpiality (corregimiento)'.

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on February 03, 2025.",13,76,594,
PNG,https://data.humdata.org/dataset/cod-ab-png,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),"Papua New Guinea administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2019

NOTE:  See COD-PS caveats about special feature treatments.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Papua New Guinea National Statistics Office

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Papua New Guinea [COD-PS](https://data.humdata.org/dataset/cod-ps-png).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 22 feature(s).  The normal administrative level 1 feature type is """"Province, Autonomous Region, and National Capital District"""".

Administrative level 2 contains 87 feature(s).  The normal administrative level 2 feature type is """"District"""".

Administrative level 3 contains 326 feature(s).  The normal administrative level 3 feature type is """"Local Government Area"""".

Recommended cartographic projection:  Oceania

This metadata was last updated on January 13, 2025.",22,87,326,
PRY,https://data.humdata.org/dataset/cod-ab-pry,cod-standard,OCHA Latin America and the Caribbean (ROLAC),"Paraguay administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  New government boundary sources, including a new ADM3 layer, have been identified and will be incorporated into a future COD-AB update.

This COD-AB was most recently reviewed for accuracy and necessary changes in January 2025.  The COD-AB requires improvements.

Sourced from Dirección General de Estadísticas, Encuestas y Censos (DGEEC)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Paraguay [COD-PS](https://data.humdata.org/dataset/cod-ps-pry).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 18 feature(s).  The normal administrative level 1 feature type is 'department (departamento)'.

Administrative level 2 contains 250 feature(s).  The normal administrative level 2 feature type is 'distrtict (distrito)'.

Recommended cartographic projection:  South America Albers Equal Area Conic

This metadata was last updated on February 03, 2025.",18,250,,
